MsgID.LOCAL_POSITION,1526390824.4010189,0.0847524,0.2235644,0.0389973
MsgID.LOCAL_VELOCITY,1526390824.4010189,-0.0000197,-0.0000148,0.0000136
MsgID.STATE,1526390824.4012730,True,True
MsgID.GLOBAL_HOME,1526390824.4014931,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1526390824.4016371,-122.3974505,37.7924801,-0.0580000
MsgID.LOCAL_VELOCITY,1526390824.4016371,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.4018030,-0.0390741,0.2506171,0.0588691
MsgID.LOCAL_VELOCITY,1526390824.4018030,0.0000098,-0.0000031,0.0000184
MsgID.GLOBAL_POSITION,1526390824.4019830,-122.3974483,37.7924799,-0.0690000
MsgID.LOCAL_VELOCITY,1526390824.4019830,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.4022050,-0.0523032,0.4276576,0.0702173
MsgID.LOCAL_VELOCITY,1526390824.4022050,-0.0000011,0.0000032,0.0000166
MsgID.GLOBAL_POSITION,1526390824.4024179,-122.3974505,37.7924799,-0.0690000
MsgID.LOCAL_VELOCITY,1526390824.4024179,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.4025910,-0.0523032,0.2371256,0.0691065
MsgID.LOCAL_VELOCITY,1526390824.4025910,0.0000040,-0.0000144,0.0000192
MsgID.GLOBAL_POSITION,1526390824.4027772,-122.3974507,37.7924799,-0.0590000
MsgID.LOCAL_VELOCITY,1526390824.4027772,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.4029520,-0.0523280,0.2325343,0.0588346
MsgID.LOCAL_VELOCITY,1526390824.4029520,0.0000045,-0.0000017,0.0000206
MsgID.STATE,1526390824.4032371,True,True
MsgID.GLOBAL_HOME,1526390824.4036129,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1526390824.4039171,-122.3974492,37.7924798,-0.0440000
MsgID.LOCAL_VELOCITY,1526390824.4039171,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.4042270,-0.0679825,0.3630649,0.0443539
MsgID.LOCAL_VELOCITY,1526390824.4042270,0.0000236,0.0000018,0.0000176
MsgID.GLOBAL_POSITION,1526390824.4044840,-122.3974497,37.7924796,-0.0300000
MsgID.LOCAL_VELOCITY,1526390824.4044840,0.0000000,0.0000000,0.0000000
